code_aiot,nom_etablissement_icpe,code_postal,siret_icpe,siret_gerep,siret_td,traite
0005300526,SOLICENDRE,14370,39018980100041,39018980100041,39018980100025,oui
0005300526,SOLICENDRE,14370,39018980100041,39018980100041,39018980100025,oui
0005701212,VIGNON FONDERIES,8450,68548008900018,,,oui
0005702746,MASSON ET FILS,10190,,,43000086900031,oui
0005802070,GRANDE PAROISSE SA,76800,,,67080242001024,oui
0006000531,ISDND - Haute-Corrèze Communauté,23100,,,,oui
0007101242,Société EURO BETON,97438,49021969800019,,,oui
0006201185,SODELIF,57380,34309542800037,,,oui
0006500370,COVED S.A.,77570,,,,oui
0010400180,SMICTOM DE LA BIEVRE,38260,25380236700032,,,oui
0007000695,SITA NORD EST,59730,57880019500062,,,oui
0005901288,SUEZ RR IWS Minerals France (ex SITA FD),70000,38893526400332,38893526400332,43331348300243,oui
0007101577,LEBRETON Michel Claude,97411,,,,oui
0007102643,ISDD LEPINAY,97450,,,,oui
0006107000,ORANO MINING (ex. AREVA NC),42830,,,,oui
0005402405,ANCOR,89600,,,,oui
0007102417,M. GERMAIN JM et M. VERGOS Gérald,97460,,,,oui
0005901185,FONDERIES DE TREVERAY SAS,70230,34435458400015,,,oui
0006002155,ORANO Mining,87250,30520716900510,,50149360500049,oui
0006702565,SUEZ RV NORD EST,67320,42028111500014,,,oui
0006605597,COLAS Midi-Mediterranee,34260,57292154200039,,,oui
0006900356,SMBE,97353,,,,oui
0006401019,ASCOMETAL Fos-sur-Mer,13270,33104813200020,33104813200020,83489559100024,oui
0007001252,SITA NORD EST - CET Landrecies,59550,,,,oui
0005801081,SERAF,76410,32167789000020,32167789000020,,oui
0007208618,MAURY FABRICE LIONEL,79000,33901718800022,,,oui
0006205741,CARRIERES ET FOURS A CHAUX DE DUGNY,55100,34902027100020,,34902027100012,oui
0022300019,SMTVD,97228,25972008400013,,,oui
0006702296,MDPA (anciennement STOCAMINE),68310,38116674300017,,94675164100170,oui
0018100034,ALUMINIUM PECHINEY,30340,,,,oui
0007102418,PAYET expédit,97460,,,,oui
